fixture_id,team,player_id,player_name,minutes_played,rating,position,is_substitute,shots_total,shots_on_goal,goals_total,assists,passes_total,passes_key,passes_accuracy_pct,tackles_total,tackles_interceptions,duels_won
868020,West Ham,2937,Declan Rice,90.0,7.2,M,False,,,,,55.0,1.0,51,3.0,1.0,3.0
868020,West Ham,19428,Jarrod Bowen,90.0,7.3,M,False,1.0,,,,33.0,3.0,24,2.0,3.0,3.0
868020,West Ham,1646,Lucas Paquetá,61.0,6.2,M,False,1.0,1.0,,,22.0,,21,,,2.0
868020,West Ham,1697,Pablo Fornals,61.0,6.2,M,False,,,,,31.0,1.0,27,2.0,2.0,3.0
868020,West Ham,18819,Michail Antonio,70.0,6.9,F,False,1.0,1.0,,,9.0,1.0,5,,,3.0
868020,West Ham,253,Alphonse Aréola,,,G,True,,,,,,,,,,
868020,West Ham,2284,Emerson Palmieri,1.0,,D,True,,,,,2.0,,2,,,
868020,West Ham,18817,Angelo Ogbonna,,,D,True,,,,,,,,,,
868020,West Ham,19147,Craig Dawson,,,D,True,,,,,,,,,,
868020,West Ham,19361,Saïd Benrahma,29.0,6.6,F,True,,,,,11.0,,8,,,1.0
868020,West Ham,19733,Flynn Downes,,,M,True,,,,,,,,,,
868020,West Ham,2473,Manuel Lanzini,,,M,True,,,,,,,,,,
868020,West Ham,665,Maxwel Cornet,29.0,7,F,True,2.0,1.0,,,10.0,,6,2.0,,4.0
868020,West Ham,30544,Gianluca Scamacca,20.0,6.5,F,True,,,,,3.0,,1,,,
868027,Arsenal,20355,Aaron Ramsdale,90.0,6.9,G,False,,,,,16.0,,12,,,
868027,Arsenal,19959,Benjamin White,89.0,7.5,D,False,1.0,,,1.0,61.0,2.0,52,3.0,,3.0
868027,Arsenal,22090,William Saliba,90.0,6.9,D,False,,,,,70.0,,67,3.0,,5.0
868027,Arsenal,22224,Gabriel Magalhães,90.0,6.7,D,False,,,,,61.0,,56,1.0,1.0,6.0
868027,Arsenal,641,Oleksandr Zinchenko,73.0,6.9,D,False,1.0,,,,59.0,,53,1.0,,4.0
868027,Arsenal,37127,Martin Ødegaard,80.0,6.6,M,False,2.0,1.0,,,40.0,1.0,32,,1.0,3.0
868027,Arsenal,49,Thomas Partey,73.0,8,M,False,1.0,1.0,1.0,,55.0,4.0,52,1.0,3.0,2.0
868027,Arsenal,1464,Granit Xhaka,90.0,7.3,M,False,3.0,1.0,1.0,,46.0,1.0,40,,,1.0
868027,Arsenal,1460,Bukayo Saka,90.0,7.2,F,False,3.0,1.0,,,32.0,5.0,30,1.0,,3.0
868027,Arsenal,643,Gabriel Jesus,80.0,7.5,F,False,4.0,3.0,1.0,,21.0,1.0,18,2.0,,7.0
868027,Arsenal,127769,Gabriel Martinelli,90.0,7.5,F,False,2.0,1.0,,1.0,38.0,2.0,36,2.0,,7.0
868027,Arsenal,50999,Matt Turner,,,G,True,,,,,,,,,,
868027,Arsenal,2597,Takehiro Tomiyasu,1.0,,D,True,,,,,3.0,,2,,,
868027,Arsenal,1440,Rob Holding,,,D,True,,,,,,,,,,
868027,Arsenal,1117,Kieran Tierney,17.0,6.9,D,True,1.0,1.0,,,25.0,,24,,,
868027,Arsenal,727,Reiss Nelson,,,F,True,,,,,,,,,,
868027,Arsenal,1427,Albert Sambi Lokonga,17.0,6.3,M,True,,,,,26.0,,26,,,
868027,Arsenal,41725,Fábio Vieira,10.0,6.3,M,True,,,,,8.0,1.0,7,,1.0,
868027,Arsenal,311520,Marquinhos,,,F,True,,,,,,,,,,
